scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,2,0,3,3,0,3,0,4,3,0,3,0,4,5,0,4,0,4,4,0,4,0,4,4,0,4,0,5,4,0,4,0,5,4,0,4,0,5,41,27,14,0,42,4,4
1,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,3,0,3,4,0,3,0,3,2,2
8,4,0,24,0,25,4,0,24,0,25,4,0,24,0,25,4,0,24,0,25,4,0,24,0,25,4,0,24,0,25,4,0,24,0,25,4,0,24,0,25,4,0,24,0,25,4,0,24,0,25,4,0,24,0,25,4,0,24,0,25,25,25
16,4,0,51,0,52,4,0,51,0,52,4,0,51,0,52,4,0,51,0,52,4,0,51,0,52,4,0,51,0,52,4,0,51,0,52,4,0,52,0,52,4,0,52,0,52,4,0,52,0,53,4,0,52,0,53,4,0,53,0,53,52,52
32,5,0,17,0,17,5,0,17,0,18,5,0,17,0,18,5,0,18,0,18,5,0,18,0,18,5,0,18,0,18,5,0,18,0,18,5,0,18,0,18,5,0,18,0,18,5,0,18,0,18,5,0,18,0,18,5,0,18,0,18,18,18
64,7,0,49,0,49,7,0,50,0,50,7,0,50,0,50,7,0,50,0,50,7,0,50,0,50,7,0,50,0,50,7,0,50,0,51,7,0,50,0,51,7,0,50,0,51,7,0,51,0,51,7,0,51,0,51,7,0,51,0,51,50,51
128,11,0,50,0,51,11,0,52,0,52,11,0,52,0,52,11,0,52,0,52,11,0,52,0,52,11,0,52,0,52,11,0,52,0,52,11,0,52,0,52,11,0,52,0,52,11,0,52,0,52,11,0,52,0,52,11,0,52,0,52,52,52
256,18,0,40,0,40,18,0,40,0,40,18,0,41,0,42,18,0,41,0,42,18,0,41,0,42,17,0,41,0,42,18,0,41,0,42,18,0,43,0,43,18,0,43,0,43,18,0,43,0,43,18,0,43,0,43,18,0,43,0,43,42,42
512,32,0,85,0,85,32,0,86,0,87,32,0,86,0,87,32,0,86,0,87,32,0,86,0,87,32,0,88,0,88,32,0,88,0,88,32,0,88,0,88,32,0,89,0,90,32,0,89,0,90,32,0,89,0,90,32,0,89,0,90,88,88
1024,61,0,105,0,105,59,0,106,0,106,60,0,109,0,109,59,0,111,0,111,61,0,113,0,113,60,0,115,0,115,61,0,115,0,115,61,0,115,0,115,61,0,117,0,117,60,0,117,0,117,60,0,118,0,118,61,0,120,0,120,114,115
2048,119,0,225,0,225,118,0,231,0,231,118,0,233,0,233,118,0,233,0,233,118,0,233,0,233,118,0,233,0,233,118,0,236,0,236,118,0,236,0,236,118,0,236,0,236,118,0,238,0,238,118,0,241,0,241,118,0,241,0,241,235,236
4096,233,0,443,0,443,233,0,443,0,443,233,0,444,0,444,216,0,446,0,446,233,0,448,0,448,233,0,448,0,448,233,0,448,0,448,233,0,448,0,448,233,0,453,0,453,233,0,453,0,453,228,0,453,0,453,233,0,458,0,458,449,448
8192,425,0,881,0,882,461,0,1109,0,1109,457,0,1109,0,1109,461,0,1109,0,1109,461,0,1109,0,1109,461,0,1109,0,1110,461,0,1109,0,1110,457,0,1110,0,1110,461,0,1110,0,1110,458,0,1109,0,1110,458,0,1110,0,1110,470,1,1120,0,1121,1110,1110